Country,Land Area(Km2),Total number of disasters,Total number of Deaths,Num of disasters/area
Afghanistan,652230,212,18232.0,0.00032503871333731965
Albania,28748,30,513.0,0.0010435508557117017
Algeria,2381741,101,5141.0,4.240595429981681e-05
Angola,1246700,100,5762.0,8.021175904387583e-05
Antigua and Barbuda,443,3,1.0,0.006772009029345372
Argentina,2780400,116,1153.0,4.172061573874263e-05
Armenia,29743,11,33.0,0.00036983491914063815
Australia,7741220,138,1333.0,1.782664747933788e-05
Austria,83871,31,1082.0,0.000369615242455676
Azerbaijan,86600,17,233.0,0.00019630484988452656
